tBJD,HJD,fits
1738.697160343795,2458738.6971603436,2019-09-12T04:43:54.654
1738.8318820539157,2458738.831882054,2019-09-12T07:57:54.609
1738.9679926116728,2458738.9679926117,2019-09-12T11:13:54.562
1739.1013253760198,2458739.101325376,2019-09-12T14:25:54.512
1739.2360470020908,2458739.236047002,2019-09-12T17:39:54.461
1739.372157493723,2458739.3721574936,2019-09-12T20:55:54.407
1739.5068790889413,2458739.506879089,2019-09-13T00:09:54.353
1739.6416006727532,2458739.6416006726,2019-09-13T03:23:54.298
1739.7763222469016,2458739.776322247,2019-09-13T06:37:54.242
1739.911043812786,2458739.911043813,2019-09-13T09:51:54.185
1740.0457653715673,2458740.0457653715,2019-09-13T13:05:54.128
1740.1804869239472,2458740.180486924,2019-09-13T16:19:54.070
1740.316597352599,2458740.3165973527,2019-09-13T19:35:54.011
1740.451318894036,2458740.451318894,2019-09-13T22:49:53.952
1740.586040430932,2458740.5860404307,2019-09-14T02:03:53.893
1740.720761963406,2458740.7207619636,2019-09-14T05:17:53.834
1740.8554834919191,2458740.855483492,2019-09-14T08:31:53.774
1740.9902050165938,2458740.9902050165,2019-09-14T11:45:53.713
1741.1249265377733,2458741.1249265377,2019-09-14T14:59:53.653
1741.2596480553464,2458741.2596480553,2019-09-14T18:13:53.592
1741.3943695697749,2458741.3943695696,2019-09-14T21:27:53.531
1741.5304799625724,2458741.5304799625,2019-09-15T00:43:53.469
1741.6638125893191,2458741.6638125894,2019-09-15T03:55:53.408
1741.7999229761804,2458741.799922976,2019-09-15T07:11:53.345
1741.9346444786183,2458741.934644479,2019-09-15T10:25:53.283
1742.0693659783785,2458742.0693659782,2019-09-15T13:39:53.221
1742.2040874753461,2458742.2040874753,2019-09-15T16:53:53.158
1742.3388089698678,2458742.33880897,2019-09-15T20:07:53.095
1742.4735304617138,2458742.4735304615,2019-09-15T23:21:53.032
1742.6082519512304,2458742.608251951,2019-09-16T02:35:52.969
1742.7443623195818,2458742.7443623194,2019-09-16T05:51:52.904
1742.8776949230469,2458742.877694923,2019-09-16T09:03:52.841
1743.0138052867414,2458743.013805287,2019-09-16T12:19:52.777
1743.1485267670619,2458743.1485267673,2019-09-16T15:33:52.713
1743.2832482451704,2458743.2832482453,2019-09-16T18:47:52.648
1743.4179697212999,2458743.4179697214,2019-09-16T22:01:52.584
1743.5526911954512,2458743.5526911956,2019-09-17T01:15:52.519
1743.687412667739,2458743.6874126676,2019-09-17T04:29:52.454
1743.822134138049,2458743.822134138,2019-09-17T07:43:52.390
1743.956855606728,2458743.9568556068,2019-09-17T10:57:52.324
1744.0915770737781,2458744.0915770736,2019-09-17T14:11:52.259
1744.2276874203599,2458744.2276874203,2019-09-17T17:27:52.193
1744.3624088843826,2458744.3624088843,2019-09-17T20:41:52.128
1744.4943525850335,2458744.494352585,2019-09-17T23:51:52.063
1744.6318518085873,2458744.6318518086,2019-09-18T03:09:51.996
1744.7665732688856,2458744.766573269,2019-09-18T06:23:51.930
1744.9012947281362,2458744.9012947283,2019-09-18T09:37:51.865
1745.0360161866884,2458745.0360161867,2019-09-18T12:51:51.799
1745.1707376444251,2458745.1707376447,2019-09-18T16:05:51.732
1745.3054591014647,2458745.3054591017,2019-09-18T19:19:51.666
1745.4401805582697,2458745.4401805582,2019-09-18T22:33:51.600
1745.5749020147277,2458745.574902015,2019-09-19T01:47:51.534
1745.7110123521138,2458745.7110123523,2019-09-19T05:03:51.467
1745.8457338085718,2458745.8457338084,2019-09-19T08:17:51.401
1745.9804552653777,2458745.9804552654,2019-09-19T11:31:51.335
1746.115176722767,2458746.115176723,2019-09-19T14:45:51.269
1746.249898180853,2458746.249898181,2019-09-19T17:59:51.203
1746.38461963999,2458746.38461964,2019-09-19T21:13:51.137
1746.5193411002883,2458746.5193411005,2019-09-20T00:27:51.071
1746.6540625623343,2458746.654062562,2019-09-20T03:41:51.005
1746.7887840261265,2458746.788784026,2019-09-20T06:55:50.940
1746.9235054921296,2458746.923505492,2019-09-20T10:09:50.875
1747.059615841858,2458747.059615842,2019-09-20T13:25:50.809
1747.1943373133336,2458747.1943373135,2019-09-20T16:39:50.744
1747.3290587881856,2458747.3290587883,2019-09-20T19:53:50.679
1747.4637802669945,2458747.463780267,2019-09-20T23:07:50.615
1747.5985017499966,2458747.59850175,2019-09-21T02:21:50.551
1747.7332232378867,2458747.733223238,2019-09-21T05:35:50.488
1747.8679447311333,2458747.867944731,2019-09-21T08:49:50.425
1748.0026662305486,2458748.002666231,2019-09-21T12:03:50.362
1748.1373877367187,2458748.1373877367,2019-09-21T15:17:50.300
1748.273498132081,2458748.273498132,2019-09-21T18:33:50.239
1748.408219654315,2458748.408219654,2019-09-21T21:47:50.178
1748.5429411859786,2458748.542941186,2019-09-22T01:01:50.118
1748.6776627281197,2458748.677662728,2019-09-22T04:15:50.060
1748.8123842820187,2458748.8123842822,2019-09-22T07:29:50.002
1748.9471058488393,2458748.9471058487,2019-09-22T10:43:49.945
1749.081827430096,2458749.08182743,2019-09-22T13:57:49.890
1749.2165490275352,2458749.2165490277,2019-09-22T17:11:49.836
1749.3512706431347,2458749.351270643,2019-09-22T20:25:49.784
1749.4873811617817,2458749.4873811617,2019-09-22T23:41:49.732
1749.6221028203395,2458749.6221028203,2019-09-23T02:55:49.684
1749.7554356205515,2458749.7554356204,2019-09-23T06:07:49.638
1749.8915462156851,2458749.891546216,2019-09-23T09:23:49.593
1750.0262679580605,2458750.026267958,2019-09-23T12:37:49.552
1750.1609897336157,2458750.1609897334,2019-09-23T15:51:49.513
1750.2943226588582,2458750.294322659,2019-09-23T19:03:49.478
1751.6595939422677,2458751.659593942,2019-09-25T03:49:48.917
1751.7790373044263,2458751.779037304,2019-09-25T06:41:48.823
1751.9137582532003,2458751.913758253,2019-09-25T09:55:48.713
1752.048479159018,2458752.048479159,2019-09-25T13:09:48.599
1752.1832000320064,2458752.183200032,2019-09-25T16:23:48.483
1752.3179208792671,2458752.3179208795,2019-09-25T19:37:48.364
1752.4540305804492,2458752.4540305804,2019-09-25T22:53:48.242
1752.5887513903403,2458752.58875139,2019-09-26T02:07:48.120
1752.7234721866112,2458752.723472187,2019-09-26T05:21:47.997
1752.8581929714733,2458752.8581929714,2019-09-26T08:35:47.873
1752.9929137465579,2458752.9929137467,2019-09-26T11:49:47.748
1753.1276345131428,2458753.127634513,2019-09-26T15:03:47.622
1753.2623552723949,2458753.262355272,2019-09-26T18:17:47.496
1753.39707602501,2458753.397076025,2019-09-26T21:31:47.369
1753.5331856455177,2458753.5331856455,2019-09-27T00:47:47.240
1753.6679063869567,2458753.667906387,2019-09-27T04:01:47.112
1753.8026271236242,2458753.8026271234,2019-09-27T07:15:46.983
1753.9373478557509,2458753.937347856,2019-09-27T10:29:46.855
1754.0720685836877,2458754.0720685837,2019-09-27T13:43:46.726
1754.206789307781,2458754.2067893078,2019-09-27T16:57:46.596
1754.3415100281504,2458754.341510028,2019-09-27T20:11:46.466
1754.4762307450287,2458754.476230745,2019-09-27T23:25:46.336
1754.6109514586446,2458754.6109514586,2019-09-28T02:39:46.206
1754.7456721690037,2458754.745672169,2019-09-28T05:53:46.075
1754.8817817496974,2458754.88178175,2019-09-28T09:09:45.943
1755.0165024541193,2458755.016502454,2019-09-28T12:23:45.812
1755.1512231557458,2458755.1512231557,2019-09-28T15:37:45.681
1755.2859438546961,2458755.2859438546,2019-09-28T18:51:45.549
1755.4206645509676,2458755.4206645507,2019-09-28T22:05:45.417
1755.5553852447956,2458755.555385245,2019-09-29T01:19:45.285
1755.6901059360612,2458755.690105936,2019-09-29T04:33:45.153
1755.8248266251176,2458755.824826625,2019-09-29T07:47:45.020
1755.9595473117265,2458755.9595473115,2019-09-29T11:01:44.888
1756.095656869256,2458756.0956568695,2019-09-29T14:17:44.754
1756.2303775515575,2458756.2303775516,2019-09-29T17:31:44.620
1756.3650982318827,2458756.365098232,2019-09-29T20:45:44.487
1756.4998189102275,2458756.4998189104,2019-09-29T23:59:44.354
1756.6345395867097,2458756.6345395865,2019-09-30T03:13:44.220
1756.7692602613292,2458756.769260261,2019-09-30T06:27:44.087
1756.9039809342025,2458756.903980934,2019-09-30T09:41:43.953
1757.0387016055638,2458757.0387016055,2019-09-30T12:55:43.819
1757.173422275294,2458757.173422275,2019-09-30T16:09:43.685
1757.3095318165256,2458757.3095318167,2019-09-30T19:25:43.549
1757.4428636106823,2458757.4428636106,2019-09-30T22:37:43.416
1757.5789731492364,2458757.5789731494,2019-10-01T01:53:43.280
1757.7136938138442,2458757.713693814,2019-10-01T05:07:43.146
1757.8484144775234,2458757.8484144774,2019-10-01T08:21:43.011
1757.983135140385,2458757.9831351405,2019-10-01T11:35:42.876
1758.1178558024344,2458758.1178558026,2019-10-01T14:49:42.741
1758.252576463784,2458758.252576464,2019-10-01T18:03:42.606
1758.3872971247856,2458758.3872971246,2019-10-01T21:17:42.472
1758.5234066583325,2458758.5234066583,2019-10-02T00:33:42.335
1758.6567384460877,2458758.656738446,2019-10-02T03:45:42.202
1758.7928479794032,2458758.7928479793,2019-10-02T07:01:42.065
1758.9275686402884,2458758.92756864,2019-10-02T10:15:41.931
1759.0622893015216,2458759.0622893013,2019-10-02T13:29:41.796
1759.1970099633388,2458759.1970099634,2019-10-02T16:43:41.661
1759.331730626086,2458759.331730626,2019-10-02T19:57:41.526
1759.4664512899967,2458759.46645129,2019-10-02T23:11:41.391
1759.6011719551907,2458759.601171955,2019-10-03T02:25:41.257
1759.7358926220118,2458759.735892622,2019-10-03T05:39:41.123
1759.8706132908146,2458759.870613291,2019-10-03T08:53:40.988
1760.005333961943,2458760.005333962,2019-10-03T12:07:40.854
1760.1414435085326,2458760.1414435087,2019-10-03T15:23:40.719
1760.2761641852503,2458760.2761641853,2019-10-03T18:37:40.586
1760.410884865229,2458760.410884865,2019-10-03T21:51:40.452
1760.5456055491645,2458760.545605549,2019-10-04T01:05:40.319
1760.6803262374087,2458760.6803262373,2019-10-04T04:19:40.187
1760.815046930541,2458760.8150469307,2019-10-04T07:33:40.055
1760.9497676289136,2458760.9497676287,2019-10-04T10:47:39.923
1761.0844883334548,2458761.0844883337,2019-10-04T14:01:39.792
1761.2192090447506,2458761.2192090447,2019-10-04T17:15:39.661
1761.3553186368567,2458761.3553186366,2019-10-04T20:31:39.530
1761.4900393641017,2458761.490039364,2019-10-04T23:45:39.401
1761.6247601005407,2458761.6247601006,2019-10-05T02:59:39.273
1761.7594808473418,2458761.7594808475,2019-10-05T06:13:39.145
1761.894201605553,2458761.8942016056,2019-10-05T09:27:39.019
1762.0289223766836,2458762.0289223767,2019-10-05T12:41:38.893
1762.1636431622524,2458762.163643162,2019-10-05T15:55:38.769
1762.2983639636523,2458762.2983639636,2019-10-05T19:09:38.646
1762.4330847832143,2458762.433084783,2019-10-05T22:23:38.525
1762.5678056227985,2458762.5678056227,2019-10-06T01:37:38.406
1762.7025264850852,2458762.702526485,2019-10-06T04:51:38.288
1762.838636248092,2458762.838636248,2019-10-06T08:07:38.172
1762.9733571649772,2458762.9733571648,2019-10-06T11:21:38.059
1763.1080781139917,2458763.108078114,2019-10-06T14:35:37.949
1763.2427990990982,2458763.242799099,2019-10-06T17:49:37.842
