tBJD,HJD,fits
1764.726106805879,2458764.7261068057,2019-10-08T05:25:35.628
1764.8608270600714,2458764.86082706,2019-10-08T08:39:35.458
1764.9969361215265,2458764.9969361215,2019-10-08T11:55:35.281
1765.130267403151,2458765.130267403,2019-10-08T15:07:35.104
1765.2649875192765,2458765.2649875195,2019-10-08T18:21:34.922
1765.4010964770066,2458765.401096477,2019-10-08T21:37:34.736
1765.5344276815629,2458765.5344276815,2019-10-09T00:49:34.552
1765.6705366037866,2458765.670536604,2019-10-09T04:05:34.363
1765.8052566470367,2458765.805256647,2019-10-09T07:19:34.174
1765.9399766799258,2458765.93997668,2019-10-09T10:33:33.985
1766.0746967043158,2458766.0746967043,2019-10-09T13:47:33.795
1766.2094167213745,2458766.2094167215,2019-10-09T17:01:33.605
1766.3455255984288,2458766.3455255986,2019-10-09T20:17:33.412
1766.480245603961,2458766.480245604,2019-10-09T23:31:33.220
1766.6149656047203,2458766.6149656046,2019-10-10T02:45:33.028
1766.7510744672234,2458766.7510744673,2019-10-10T06:01:32.834
1766.8857944600657,2458766.88579446,2019-10-10T09:15:32.641
1767.0191255835996,2458767.0191255836,2019-10-10T12:27:32.450
1767.1538455699235,2458767.15384557,2019-10-10T15:41:32.257
1767.2885655533373,2458767.2885655533,2019-10-10T18:55:32.064
1767.4232855340738,2458767.423285534,2019-10-10T22:09:31.870
1767.5580055124826,2458767.5580055127,2019-10-11T01:23:31.676
1767.6927254884467,2458767.6927254885,2019-10-11T04:37:31.482
1767.830223193718,2458767.830223194,2019-10-11T07:55:31.284
1767.9635542997885,2458767.9635543,2019-10-11T11:07:31.092
1768.0968854039977,2458768.096885404,2019-10-11T14:19:30.899
1768.2329942376305,2458768.2329942374,2019-10-11T17:35:30.702
1768.367714203932,2458768.367714204,2019-10-11T20:49:30.507
1768.5010453030188,2458768.501045303,2019-10-12T00:01:30.314
1768.6357652660608,2458768.635765266,2019-10-12T03:15:30.119
1768.7718740932921,2458768.7718740935,2019-10-12T06:31:29.922
1768.9065940535404,2458768.9065940534,2019-10-12T09:45:29.726
1769.0427028780941,2458769.042702878,2019-10-12T13:01:29.529
1769.177422835781,2458769.177422836,2019-10-12T16:15:29.333
1769.312142792305,2458769.312142792,2019-10-12T19:29:29.137
1769.4454738823115,2458769.4454738824,2019-10-12T22:41:28.943
1769.5815827024414,2458769.581582702,2019-10-13T01:57:28.745
1769.7149137905853,2458769.7149137906,2019-10-13T05:09:28.552
1769.8510226089704,2458769.851022609,2019-10-13T08:25:28.353
1769.985742561071,2458769.985742561,2019-10-13T11:39:28.157
1770.009353274273,2458770.0093532745,2019-10-13T12:13:28.123
1770.1204625127054,2458770.1204625126,2019-10-13T14:53:27.961
1770.2565713292267,2458770.256571329,2019-10-13T18:09:27.763
1770.3899024144614,2458770.3899024143,2019-10-13T21:21:27.569
1770.5260112304006,2458770.5260112304,2019-10-14T00:37:27.370
1770.6607311806397,2458770.6607311806,2019-10-14T03:51:27.174
1770.7954511308787,2458770.7954511307,2019-10-14T07:05:26.978
1770.9301710811158,2458770.9301710813,2019-10-14T10:19:26.781
1771.0648910317034,2458771.0648910315,2019-10-14T13:33:26.585
1771.199610982641,2458771.1996109826,2019-10-14T16:47:26.389
1771.3343309341606,2458771.334330934,2019-10-14T20:01:26.193
1771.4690508862616,2458771.469050886,2019-10-14T23:15:25.997
1771.6037708394103,2458771.6037708395,2019-10-15T02:29:25.801
1771.738490793491,2458771.7384907934,2019-10-15T05:43:25.605
1771.8732107488524,2458771.8732107487,2019-10-15T08:57:25.409
1772.0093195713137,2458772.0093195713,2019-10-15T12:13:25.211
1772.1426506643481,2458772.1426506643,2019-10-15T15:25:25.017
1772.2787594904182,2458772.2787594902,2019-10-15T18:41:24.820
1772.4148683186986,2458772.4148683185,2019-10-15T21:57:24.623
1772.5495882838402,2458772.549588284,2019-10-16T01:11:24.428
1772.6843082518908,2458772.684308252,2019-10-16T04:25:24.233
1772.8162504915656,2458772.8162504914,2019-10-16T07:35:24.042
1772.953748197423,2458772.9537481973,2019-10-16T10:53:23.844
1773.0884681757195,2458773.088468176,2019-10-16T14:07:23.650
1773.2217992923893,2458773.2217992926,2019-10-16T17:19:23.459
1773.3579081453506,2458773.3579081455,2019-10-16T20:35:23.264
1773.4926281376163,2458773.4926281376,2019-10-16T23:49:23.071
1773.6273481354706,2458773.6273481357,2019-10-17T03:03:22.879
1773.7620681394963,2458773.7620681394,2019-10-17T06:17:22.687
1773.8967881502726,2458773.89678815,2019-10-17T09:31:22.496
1774.0315081686147,2458774.0315081687,2019-10-17T12:45:22.306
1774.1648393289415,2458774.1648393287,2019-10-17T15:57:22.118
1774.3009482307978,2458774.300948231,2019-10-17T19:13:21.927
1774.435668276384,2458774.435668276,2019-10-17T22:27:21.739
1774.570388333028,2458774.570388333,2019-10-18T01:41:21.552
1774.7051084017805,2458774.705108402,2019-10-18T04:55:21.366
1774.842606217652,2458774.8426062176,2019-10-18T08:13:21.177
1774.9759374480593,2458774.975937448,2019-10-18T11:25:20.996
1775.1092686946492,2458775.1092686947,2019-10-18T14:37:20.815
1775.245377694063,2458775.2453776943,2019-10-18T17:53:20.633
1775.3800978469847,2458775.380097847,2019-10-18T21:07:20.454
1775.5162068907528,2458775.516206891,2019-10-19T00:23:20.275
1775.6495382246546,2458775.6495382246,2019-10-19T03:35:20.103
1775.7828695869614,2458775.782869587,2019-10-19T06:47:19.932
1775.9189787187402,2458775.9189787186,2019-10-19T10:03:19.761
1776.0550878876559,2458776.0550878877,2019-10-19T13:19:19.593
1776.1898082276564,2458776.1898082276,2019-10-19T16:33:19.431
1777.8064497410653,2458777.806449741,2019-10-21T07:21:17.258
1777.9411692592928,2458777.941169259,2019-10-21T10:35:17.024
1778.0772776011947,2458778.077277601,2019-10-21T13:51:16.785
1778.211997054693,2458778.2119970545,2019-10-21T17:05:16.546
1778.3481053466537,2458778.348105347,2019-10-21T20:21:16.302
1778.48143590174,2458778.481435902,2019-10-21T23:33:16.062
1778.6175441630835,2458778.617544163,2019-10-22T02:49:15.816
1778.7522635537196,2458778.752263554,2019-10-22T06:03:15.571
1778.8869829353905,2458778.8869829355,2019-10-22T09:17:15.326
1779.0217023094956,2458779.0217023096,2019-10-22T12:31:15.080
1779.1564216774307,2458779.156421677,2019-10-22T15:45:14.833
1779.289752180595,2458779.2897521807,2019-10-22T18:57:14.588
1779.4258603980513,2458779.425860398,2019-10-22T22:13:14.338
1779.5619686113143,2458779.561968611,2019-10-23T01:29:14.088
1779.6952991026067,2458779.6952991025,2019-10-23T04:41:13.842
1779.8300184500526,2458779.83001845,2019-10-23T07:55:13.594
1779.9647377948218,2458779.964737795,2019-10-23T11:09:13.345
1780.1008459964448,2458780.1008459963,2019-10-23T14:25:13.094
1780.235565336558,2458780.2355653364,2019-10-23T17:39:12.845
1780.370284674808,2458780.3702846747,2019-10-23T20:53:12.596
1780.5050040113117,2458780.505004011,2019-10-24T00:07:12.347
1780.6397233461855,2458780.639723346,2019-10-24T03:21:12.097
1780.7744426796633,2458780.7744426797,2019-10-24T06:35:11.848
1780.9091620118609,2458780.909162012,2019-10-24T09:49:11.598
1781.0438813427775,2458781.0438813427,2019-10-24T13:03:11.348
1781.1786006727618,2458781.1786006726,2019-10-24T16:17:11.098
1781.3147088607654,2458781.3147088606,2019-10-24T19:33:10.846
1781.4480393298224,2458781.4480393296,2019-10-24T22:45:10.598
1781.584147516197,2458781.584147516,2019-10-25T02:01:10.345
1781.7174779838567,2458781.717477984,2019-10-25T05:13:10.098
1781.8535861690666,2458781.853586169,2019-10-25T08:29:09.845
1781.9883054947452,2458781.9883054947,2019-10-25T11:43:09.595
1782.1244136790235,2458782.124413679,2019-10-25T14:59:09.342
