tBJD,HJD,fits,dMag
1711.4553856884445,2458711.455385688,2019-08-15T22:55:45.323,1.3876407130026114
1711.5873312539325,2458711.587331254,2019-08-16T02:05:45.420,1.3510567505895874
1711.724832381172,2458711.724832381,2019-08-16T05:23:45.518,1.3063424716577783
1711.858166777552,2458711.8581667775,2019-08-16T08:35:45.610,1.2767081143524932
1711.994278950268,2458711.99427895,2019-08-16T11:51:45.701,1.3017213333939464
1712.1290022047815,2458712.1290022046,2019-08-16T15:05:45.790,1.2928452770469976
1712.2651143438534,2458712.2651143437,2019-08-16T18:21:45.879,1.3186514874436965
1712.3984486722472,2458712.398448672,2019-08-16T21:33:45.965,1.2979816807639224
1712.5345607891998,2458712.5345607894,2019-08-17T00:49:46.052,1.3425513942217533
1712.6678950994328,2458712.6678950996,2019-08-17T04:01:46.137,1.3413738428303377
1712.8040072004371,2458712.8040072005,2019-08-17T07:17:46.222,1.3330638530024908
1712.93873039616,2458712.9387303963,2019-08-17T10:31:46.306,1.2665553856040606
1713.0734535862957,2458713.073453586,2019-08-17T13:45:46.390,1.3114656024157747
1713.2081767714265,2458713.2081767716,2019-08-17T16:59:46.473,1.2892806997638857
1713.3428999521325,2458713.342899952,2019-08-17T20:13:46.556,1.321446816455216
1713.477623128647,2458713.477623129,2019-08-17T23:27:46.638,1.292137692525644
1713.6123463013212,2458713.6123463013,2019-08-18T02:41:46.720,1.3327196688457958
1713.748458369147,2458713.748458369,2019-08-18T05:57:46.803,1.2592976703600394
1713.8817926363072,2458713.881792636,2019-08-18T09:09:46.884,1.328687522890401
1714.0179046976145,2458714.0179046975,2019-08-18T12:25:46.966,1.303068693112799
1714.151238958721,2458714.151238959,2019-08-18T15:37:47.046,1.2684074045258908
1714.2873510139748,2458714.287351014,2019-08-18T18:53:47.128,1.2961538509463575
1714.4206852694933,2458714.4206852694,2019-08-18T22:05:47.207,1.3264844727218355
1714.5581862178046,2458714.5581862177,2019-08-19T01:23:47.289,1.3423933408744633
1714.6887426711435,2458714.688742671,2019-08-19T04:31:47.367,1.281208719795823
1714.827632512628,2458714.8276325124,2019-08-19T07:51:47.449,1.3618493881774403
1714.9609667580185,2458714.960966758,2019-08-19T11:03:47.528,1.2644359170874493
